Matrix_Size,NNZ_Ratio,Mean_Time_ms,Std_Time_ms,Failed,Dense_Time_ms,Speedup,Device,PyTorch_Version
1024,0.004,1.0021,0.0247,False,1.9182,1.9141,mps,2.10.0a0+gitae25447
1024,0.005,1.0408,0.0398,False,1.9182,1.8430,mps,2.10.0a0+gitae25447
1024,0.006,1.0950,0.0934,False,1.9182,1.7518,mps,2.10.0a0+gitae25447
1024,0.007,1.1200,0.0329,False,1.9182,1.7126,mps,2.10.0a0+gitae25447
1024,0.008,1.1332,0.0128,False,1.9182,1.6928,mps,2.10.0a0+gitae25447
1024,0.009,1.1559,0.0793,False,1.9182,1.6595,mps,2.10.0a0+gitae25447
1024,0.01,1.1027,0.1576,False,1.9182,1.7395,mps,2.10.0a0+gitae25447
1024,0.015,1.3595,0.0216,False,1.9182,1.4109,mps,2.10.0a0+gitae25447
1024,0.02,1.4955,0.0513,False,1.9182,1.2827,mps,2.10.0a0+gitae25447
1024,0.025,1.6614,0.0491,False,1.9182,1.1545,mps,2.10.0a0+gitae25447
1024,0.03,1.6314,0.3152,False,1.9182,1.1758,mps,2.10.0a0+gitae25447
1024,0.035,0.9740,0.0750,False,1.9182,1.9693,mps,2.10.0a0+gitae25447
1024,0.04,1.1907,0.0507,False,1.9182,1.6110,mps,2.10.0a0+gitae25447
1024,0.045,1.3865,0.0651,False,1.9182,1.3835,mps,2.10.0a0+gitae25447
1024,0.05,1.8017,0.2368,False,1.9182,1.0647,mps,2.10.0a0+gitae25447
1024,0.1,2.4654,0.3823,False,1.9182,0.7780,mps,2.10.0a0+gitae25447
2048,0.001,1.4174,0.1035,False,4.9270,3.4761,mps,2.10.0a0+gitae25447
2048,0.002,1.5348,0.2181,False,4.9270,3.2102,mps,2.10.0a0+gitae25447
2048,0.003,1.5394,0.0885,False,4.9270,3.2005,mps,2.10.0a0+gitae25447
2048,0.004,1.8044,0.5201,False,4.9270,2.7305,mps,2.10.0a0+gitae25447
2048,0.005,1.8672,0.2531,False,4.9270,2.6388,mps,2.10.0a0+gitae25447
2048,0.006,1.8462,0.3085,False,4.9270,2.6687,mps,2.10.0a0+gitae25447
2048,0.007,2.2503,0.1906,False,4.9270,2.1894,mps,2.10.0a0+gitae25447
2048,0.008,1.9264,0.3312,False,4.9270,2.5576,mps,2.10.0a0+gitae25447
2048,0.009,1.9336,0.2533,False,4.9270,2.5481,mps,2.10.0a0+gitae25447
